"","IRI_KEY","WEEK","SY","GE","VEND","ITEM","UNITS","DOLLARS","F","D","PR","UPC","VOL_EQ","PPU"
"1",8003697,1114,0,1,48001,27064,12,17.88,"B",0,1,"00-01-48001-27064",1.125,1.49
"2",8003697,1121,0,1,48001,27064,1,2.49,"NONE",0,0,"00-01-48001-27064",1.125,2.49
"3",8003697,1123,0,1,48001,27064,13,23.27,"A",2,1,"00-01-48001-27064",1.125,1.79
"4",8003697,1123,0,1,48001,27040,2,3.58,"NONE",0,0,"00-01-48001-27040",1.125,1.79
"5",8003697,1124,0,1,48001,27040,3,7.47,"NONE",1,0,"00-01-48001-27040",1.125,2.49
"6",8003697,1125,0,1,48001,27064,2,4.98,"NONE",0,0,"00-01-48001-27064",1.125,2.49
"7",8003697,1125,0,1,48001,27040,1,2.49,"NONE",1,0,"00-01-48001-27040",1.125,2.49
"8",8003697,1159,0,1,48001,27064,8,12,"A",0,1,"00-01-48001-27064",1.125,1.5
"9",8003697,1159,0,1,48001,27040,2,3,"A",0,1,"00-01-48001-27040",1.125,1.5
"10",642511,1114,0,1,48001,27064,6,8.94,"B",0,1,"00-01-48001-27064",1.125,1.49
"11",642511,1114,0,1,48001,27040,6,8.94,"B",0,1,"00-01-48001-27040",1.125,1.49
"12",642511,1122,0,1,48001,27040,1,2.49,"NONE",0,0,"00-01-48001-27040",1.125,2.49
"13",642511,1123,0,1,48001,27064,9,16.11,"A",2,1,"00-01-48001-27064",1.125,1.79
"14",642511,1123,0,1,48001,27040,1,1.79,"NONE",2,1,"00-01-48001-27040",1.125,1.79
"15",642511,1126,0,1,48001,27040,1,2.49,"NONE",0,0,"00-01-48001-27040",1.125,2.49
"16",642511,1145,0,1,48001,27064,8,12,"B",2,1,"00-01-48001-27064",1.125,1.5
"17",642511,1145,0,1,48001,27040,5,8.5,"NONE",0,0,"00-01-48001-27040",1.125,1.7
"18",642511,1150,0,1,48001,27064,4,4.96,"NONE",1,1,"00-01-48001-27064",1.125,1.24
"19",642511,1159,0,1,48001,27064,9,13.5,"A",0,1,"00-01-48001-27064",1.125,1.5
"20",642511,1159,0,1,48001,27040,2,3,"A",2,1,"00-01-48001-27040",1.125,1.5
"21",642511,1161,0,1,48001,27064,5,7.5,"B",2,1,"00-01-48001-27064",1.125,1.5
"22",642511,1161,0,1,48001,27040,3,4.5,"NONE",0,1,"00-01-48001-27040",1.125,1.5
"23",642511,1165,0,1,48001,27064,1,1.31,"NONE",1,1,"00-01-48001-27064",1.125,1.31
"24",642511,1165,0,1,48001,27040,1,1.31,"NONE",0,1,"00-01-48001-27040",1.125,1.31
"25",8003767,1114,0,1,48001,27064,23,34.27,"B",2,1,"00-01-48001-27064",1.125,1.49
"26",8003767,1114,0,1,48001,27040,4,5.96,"B",0,1,"00-01-48001-27040",1.125,1.49
"27",8003767,1115,0,1,48001,27064,3,7.47,"NONE",0,0,"00-01-48001-27064",1.125,2.49
"28",8003767,1115,0,1,48001,27040,1,2.49,"NONE",0,0,"00-01-48001-27040",1.125,2.49
"29",8003767,1117,0,1,48001,27064,1,2.49,"NONE",0,0,"00-01-48001-27064",1.125,2.49
"30",8003767,1120,0,1,48001,27064,1,2.49,"NONE",0,0,"00-01-48001-27064",1.125,2.49
"31",8003767,1121,0,1,48001,27064,1,2.49,"NONE",0,0,"00-01-48001-27064",1.125,2.49
