Month,Price,Change
11/1/97,1199.00,-
12/1/97,1220.00,0.0175000
1/1/98,1146.00,-0.0607000
2/1/98,1079.00,-0.0585000
3/1/98,992.50,-0.0802000
4/1/98,940.00,-0.0529000
5/1/98,930.00,-0.0106000
6/1/98,989.00,0.0634000
7/1/98,1034.00,0.0455000
8/1/98,1087.50,0.0517000
9/1/98,965.00,-0.1126000
10/1/98,955.00,-0.0104000
11/1/98,890.00,-0.0681000
12/1/98,857.00,-0.0371000
1/1/99,843.75,-0.0155000
2/1/99,822.50,-0.0252000
3/1/99,820.00,-0.0030000
4/1/99,817.50,-0.0030000
5/1/99,845.00,0.0336000
6/1/99,866.16,0.0250000
7/1/99,840.00,-0.0302000
8/1/99,800.00,-0.0476000
9/1/99,800.00,0.0000000
10/1/99,856.00,0.0700000
11/1/99,856.00,0.0000000
12/1/99,850.00,-0.0070000
1/1/00,850.00,0.0000000
2/1/00,832.50,-0.0206000
3/1/00,818.00,-0.0174000
4/1/00,812.02,-0.0073000
5/1/00,810.30,-0.0021000
6/1/00,785.80,-0.0302000
7/1/00,809.52,0.0302000
8/1/00,804.35,-0.0064000
9/1/00,825.00,0.0257000
10/1/00,836.59,0.0140000
11/1/00,915.68,0.0945000
12/1/00,1027.38,0.1220000
1/1/01,954.35,-0.0711000
2/1/01,907.25,-0.0494000
3/1/01,890.00,-0.0190000
4/1/01,879.52,-0.0118000
5/1/01,866.52,-0.0148000
6/1/01,873.81,0.0084000
7/1/01,828.75,-0.0516000
8/1/01,825.22,-0.0043000
9/1/01,830.00,0.0058000
10/1/01,740.87,-0.1074000
11/1/01,721.59,-0.0260000
12/1/01,680.00,-0.0576000
1/1/02,686.00,0.0088000
2/1/02,690.00,0.0058000
3/1/02,630.00,-0.0870000
4/1/02,623.00,-0.0111000
5/1/02,615.00,-0.0128000
6/1/02,705.00,0.1463000
7/1/02,715.00,0.0142000
8/1/02,715.00,0.0000000
9/1/02,875.00,0.2238000
10/1/02,878.00,0.0034000
11/1/02,943.00,0.0740000
12/1/02,932.00,-0.0117000
1/1/03,968.00,0.0386000
2/1/03,983.00,0.0155000
3/1/03,1000.00,0.0173000
4/1/03,1000.00,0.0000000
5/1/03,1000.00,0.0000000
6/1/03,1005.00,0.0050000
7/1/03,984.00,-0.0209000
8/1/03,935.00,-0.0498000
9/1/03,930.00,-0.0053000
10/1/03,930.00,0.0000000
11/1/03,973.00,0.0462000
12/1/03,1000.00,0.0277000
1/1/04,1000.00,0.0000000
2/1/04,1000.00,0.0000000
3/1/04,1000.00,0.0000000
4/1/04,970.00,-0.0300000
5/1/04,970.00,0.0000000
6/1/04,970.00,0.0000000
7/1/04,970.00,0.0000000
8/1/04,968.00,-0.0021000
9/1/04,960.00,-0.0083000
10/1/04,960.00,0.0000000
11/1/04,960.00,0.0000000
12/1/04,954.00,-0.0063000
1/1/05,940.00,-0.0147000
2/1/05,940.00,0.0000000
3/1/05,922.00,-0.0191000
4/1/05,930.00,0.0087000
5/1/05,930.00,0.0000000
6/1/05,880.00,-0.0538000
7/1/05,863.00,-0.0193000
8/1/05,850.00,-0.0151000
9/1/05,850.00,0.0000000
10/1/05,850.00,0.0000000
11/1/05,850.00,0.0000000
12/1/05,850.00,0.0000000
1/1/06,850.00,0.0000000
